GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0043436	1.25726259087374e-11	8.23116438356164	4.54103933948519	23	680	oxoacid metabolic process
GO:0046365	1.43455274619787e-05	33.6924664602683	0.153593977659058	4	23	monosaccharide catabolic process
GO:0044723	2.0222875158664e-05	5.62072119153384	2.40743440233236	11	367	single-organism carbohydrate metabolic process
GO:0019318	5.91860174540643e-05	22.425	0.216799509503372	4	34	hexose metabolic process
GO:0044281	7.939091516455e-05	4.1112895256917	5.25067733195717	15	1071	small molecule metabolic process
GO:0042840	0.000130806742223401	308.679245283019	0.0200339970859641	2	3	D-glucuronate catabolic process
GO:0019519	0.000130806742223401	308.679245283019	0.0200339970859641	2	3	pentitol metabolic process
GO:0009450	0.000130806742223401	308.679245283019	0.0200339970859641	2	3	gamma-aminobutyric acid catabolic process
GO:0044282	0.000232982805223717	7.83725490196078	0.885221855518885	6	142	small molecule catabolic process
GO:0009056	0.000405215245307173	2.83094198378041	9.30913064594463	20	1394	catabolic process
GO:0009110	0.000657207032533189	20.4632107023411	0.173627974745022	3	26	vitamin biosynthetic process
GO:0042732	0.000900048746961287	61.7056603773585	0.0467459932005828	2	7	D-xylose metabolic process
GO:0001746	0.000900048746961287	61.7056603773585	0.0467459932005828	2	7	Bolwig's organ morphogenesis
GO:0055129	0.000900048746961287	61.7056603773585	0.0467459932005828	2	7	L-proline biosynthetic process
GO:0016052	0.0011313077578998	7.07631578947368	0.794681884409908	5	119	carbohydrate catabolic process
GO:0046185	0.00152975972538437	44.0646900269542	0.0601019912578922	2	9	aldehyde catabolic process
GO:0006629	0.00175822258666225	3.06363853042324	4.64120932491501	12	695	lipid metabolic process
GO:0019405	0.00190401995863074	38.5518867924528	0.0667799902865469	2	10	alditol catabolic process
GO:0006560	0.00190401995863074	38.5518867924528	0.0667799902865469	2	10	proline metabolic process
GO:0009063	0.00201903091906963	8.26530612244898	0.540750637677639	4	84	cellular amino acid catabolic process
GO:0019585	0.00231718538077768	34.2641509433962	0.0734579893152016	2	11	glucuronate metabolic process
GO:0044283	0.00245037302707247	4.23552479815456	1.8747868453106	7	296	small molecule biosynthetic process
GO:0006767	0.00251052836555198	12.3628542510121	0.273797960174842	3	41	water-soluble vitamin metabolic process
GO:0090407	0.00259241154348696	4.17685688405797	1.88987372510928	7	283	organophosphate biosynthetic process
GO:0032787	0.00276814360599335	7.56555023923445	0.590383898620947	4	99	monocarboxylic acid metabolic process
GO:0009071	0.00276873876834767	30.8339622641509	0.0801359883438562	2	12	serine family amino acid catabolic process
GO:0042135	0.00325816785348666	28.0274442538593	0.0868139873725109	2	13	neurotransmitter catabolic process
GO:0006099	0.00394143918176518	10.4307692307692	0.320543953375425	3	48	tricarboxylic acid cycle
GO:0006520	0.00396958353741846	6.81904761904762	0.652888446215139	4	114	cellular amino acid metabolic process
GO:0019853	0.00558456696175066	20.5433962264151	0.11352598348713	2	17	L-ascorbic acid biosynthetic process
GO:0055088	0.00578516675871334	9.01886094674556	0.367289946576008	3	55	lipid homeostasis
GO:0045333	0.00639698603463967	8.68178571428571	0.380784218217243	3	59	cellular respiration
GO:0042373	0.00667799902865507	Inf	0.00667799902865469	1	1	vitamin K metabolic process
GO:0042376	0.00667799902865507	Inf	0.00667799902865469	1	1	phylloquinone catabolic process
GO:0042426	0.00667799902865507	Inf	0.00667799902865469	1	1	choline catabolic process
GO:0006214	0.00667799902865507	Inf	0.00667799902865469	1	1	thymidine catabolic process
GO:0051167	0.00667799902865507	Inf	0.00667799902865469	1	1	xylulose 5-phosphate metabolic process
GO:0051157	0.00667799902865507	Inf	0.00667799902865469	1	1	arabitol catabolic process
GO:0019464	0.00667799902865507	Inf	0.00667799902865469	1	1	glycine decarboxylation via glycine cleavage system
GO:0006592	0.00667799902865507	Inf	0.00667799902865469	1	1	ornithine biosynthetic process
GO:0019240	0.00667799902865507	Inf	0.00667799902865469	1	1	citrulline biosynthetic process
GO:0001552	0.00667799902865507	Inf	0.00667799902865469	1	1	ovarian follicle atresia
GO:0019569	0.00667799902865507	Inf	0.00667799902865469	1	1	L-arabinose catabolic process to xylulose 5-phosphate
GO:0071340	0.00667799902865507	Inf	0.00667799902865469	1	1	skeletal muscle acetylcholine-gated channel clustering
GO:0045299	0.00667799902865507	Inf	0.00667799902865469	1	1	otolith mineralization
GO:0071529	0.00667799902865507	Inf	0.00667799902865469	1	1	cementum mineralization
GO:0021707	0.00667799902865507	Inf	0.00667799902865469	1	1	cerebellar granule cell differentiation
GO:0061003	0.00667799902865507	Inf	0.00667799902865469	1	1	positive regulation of dendritic spine morphogenesis
GO:0021541	0.00667799902865507	Inf	0.00667799902865469	1	1	ammon gyrus development
