GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term
GO:0006457	0.000136111640800691	7.01923076923077	1.14740165128703	7	150	protein folding
GO:0042742	0.000160422591130387	11.0974274767378	0.520155415250121	5	68	defense response to bacterium
GO:0006662	0.000514253671721793	22.6527777777778	0.160636231180185	3	21	glycerol ether metabolic process
GO:0006542	0.000567420480687282	89.2896174863388	0.0382467217095677	2	5	glutamine biosynthetic process
GO:0030029	0.00103254536807752	3.94864048338369	2.60077707625061	9	340	actin filament-based process
GO:0009064	0.00132116189865829	9.32375754093651	0.481908693540554	4	63	glutamine family amino acid metabolic process
GO:0002376	0.00146113720889858	3.09756346212662	4.50546381738708	12	589	immune system process
GO:0006412	0.00195222909248664	3.9118833385045	2.30245264691598	8	301	translation
GO:0030212	0.00200275194810113	38.248243559719	0.068844099077222	2	9	hyaluronan metabolic process
GO:0006461	0.00203960425929543	3.31387362637363	3.45030376670717	10	458	protein complex assembly
GO:0045087	0.00229377146560452	4.89657282741738	1.36158329286061	6	178	innate immune response
GO:0070727	0.00345334394039124	2.89800083010515	4.33717824186498	11	567	cellular macromolecule localization
GO:0044085	0.00486017896575819	2.28694887384804	8.82734337056824	17	1154	cellular component biogenesis
GO:0007016	0.00493931326585067	22.2978142076503	0.10709082078679	2	14	cytoskeletal anchoring at plasma membrane
GO:1901564	0.00508162439584937	2.27531790146958	8.8655900922778	17	1159	organonitrogen compound metabolic process
GO:0006082	0.00517708146819625	2.6179088846221	5.2474502185527	12	686	organic acid metabolic process
GO:0006986	0.00611856824550136	8.83369565217391	0.374817872753764	3	49	response to unfolded protein
GO:0045454	0.00611856824550136	8.83369565217391	0.374817872753764	3	49	cell redox homeostasis
GO:0046209	0.00644962927564875	19.1077283372365	0.122389509470617	2	16	nitric oxide metabolic process
GO:0007010	0.00652538601818765	2.64808306709265	4.72597908051569	11	637	cytoskeleton organization
GO:0006666	0.00764934434191356	Inf	0.00764934434191355	1	1	3-keto-sphinganine metabolic process
GO:0045752	0.00764934434191356	Inf	0.00764934434191355	1	1	positive regulation of Toll signaling pathway
GO:0018401	0.00764934434191356	Inf	0.00764934434191355	1	1	peptidyl-proline hydroxylation to 4-hydroxy-L-proline
GO:1903409	0.00814287796886599	16.7151639344262	0.137688198154444	2	18	reactive oxygen species biosynthetic process
GO:0043933	0.00935372339867629	2.20629930966469	7.87117532782904	15	1029	macromolecular complex subunit organization
GO:1901607	0.0102284468383149	7.24732142857143	0.451311316172899	3	59	alpha-amino acid biosynthetic process
GO:0051258	0.0104311500031029	5.06277463904583	0.856726566294318	4	112	protein polymerization
GO:0008293	0.0110132132535988	14.0707506471096	0.160636231180185	2	21	torso signaling pathway
GO:0016050	0.01120223312926	6.99568965517241	0.466610004856727	3	61	vesicle organization
GO:0019538	0.0125298791792721	1.86007694441429	17.341063623118	26	2267	protein metabolic process
GO:0034622	0.0131362665020618	3.00881901840491	2.54723166585721	7	333	cellular macromolecular complex assembly
GO:1901605	0.0135141071288072	6.50487012987013	0.500184297825286	3	69	alpha-amino acid metabolic process
GO:0045040	0.0152410979917567	131.806451612903	0.0152986886838271	1	2	protein import into mitochondrial outer membrane
GO:0042989	0.0152410979917567	131.806451612903	0.0152986886838271	1	2	sequestering of actin monomers
GO:0045585	0.0152410979917567	131.806451612903	0.0152986886838271	1	2	positive regulation of cytotoxic T cell differentiation
GO:0030035	0.0152410979917567	131.806451612903	0.0152986886838271	1	2	microspike assembly
GO:0007594	0.0152410979917567	131.806451612903	0.0152986886838271	1	2	puparial adhesion
GO:0035204	0.0152410979917567	131.806451612903	0.0152986886838271	1	2	negative regulation of lamellocyte differentiation
GO:2000623	0.0152410979917567	131.806451612903	0.0152986886838271	1	2	negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0022608	0.0152410979917567	131.806451612903	0.0152986886838271	1	2	multicellular organism adhesion
GO:0019094	0.0154280181876201	11.6179615110478	0.191233608547839	2	25	pole plasm mRNA localization
GO:0060810	0.0154280181876201	11.6179615110478	0.191233608547839	2	25	intracellular mRNA localization involved in pattern specification process
GO:0051707	0.016169533237937	3.17838489353154	2.05002428363283	6	268	response to other organism
GO:0009607	0.0172761917649492	3.12900672734468	2.08062166100049	6	272	response to biotic stimulus
GO:0019752	0.0192393551560897	2.44020685197156	4.08288376655223	9	555	carboxylic acid metabolic process
GO:0006421	0.022775687599058	65.8951612903226	0.0229480330257407	1	3	asparaginyl-tRNA aminoacylation
GO:0040032	0.022775687599058	65.8951612903226	0.0229480330257407	1	3	post-embryonic body morphogenesis
GO:0017000	0.022775687599058	65.8951612903226	0.0229480330257407	1	3	antibiotic biosynthetic process
GO:0006538	0.022775687599058	65.8951612903226	0.0229480330257407	1	3	glutamate catabolic process
GO:0060212	0.022775687599058	65.8951612903226	0.0229480330257407	1	3	negative regulation of nuclear-transcribed mRNA poly(A) tail shortening
GO:0010133	0.022775687599058	65.8951612903226	0.0229480330257407	1	3	proline catabolic process to glutamate
GO:0009631	0.022775687599058	65.8951612903226	0.0229480330257407	1	3	cold acclimation
GO:0045611	0.022775687599058	65.8951612903226	0.0229480330257407	1	3	negative regulation of hemocyte differentiation
GO:0045613	0.022775687599058	65.8951612903226	0.0229480330257407	1	3	regulation of plasmatocyte differentiation
GO:0015780	0.022775687599058	65.8951612903226	0.0229480330257407	1	3	nucleotide-sugar transport
GO:0051651	0.0230907655449212	5.25714285714286	0.611947547353084	3	80	maintenance of location in cell
GO:0043648	0.0230907655449212	5.25714285714286	0.611947547353084	3	80	dicarboxylic acid metabolic process
GO:0008340	0.0246242670830245	5.12278481012658	0.627246236036911	3	82	determination of adult lifespan
GO:0006886	0.0275364167663124	2.56348684210526	2.96029626032054	7	387	intracellular protein transport
GO:0007052	0.027853247542196	4.87349397590361	0.657843613404565	3	86	mitotic spindle organization
GO:0001775	0.0286616320772188	3.67613376087952	1.16270033997086	4	152	cell activation
GO:0009063	0.0286941849396866	4.81488095238095	0.665492957746479	3	87	cellular amino acid catabolic process
GO:0051764	0.0302535367040332	43.9247311827957	0.0305973773676542	1	4	actin crosslink formation
